Circle,SSA,Hotspot Name,Location Name,,,Daily Requests
ANDHRA PRADESH,VIJAYAWADA,SZAPVJWBKGPETA,Buckinghumpeta,,,284
ANDHRA PRADESH,VIJAYAWADA,SZAPVJWBVNIPRM,Bhavanipuram ,Municipality,Locality,184
ANDHRA PRADESH,VIJAYAWADA,SZAPVJWCTXBLDG,CTX Building ,,,11
ANDHRA PRADESH,VIJAYAWADA,SZAPVJWELURURD,Eluru Road ,Municipality,Road,396
ANDHRA PRADESH,VIJAYAWADA,SZAPVJWINDRSTL,Industrial Estate,Municipality,Industrial Area,197
ANDHRA PRADESH,VIJAYAWADA,SZAPVJWMCHVARM,Machavaram,Municipality,Town,698
ANDHRA PRADESH,VIJAYAWADA,SZAPVJWTAXBLDG,Tax Building,Office,,248
ANDHRA PRADESH,VISAKHAPATNAM,SZAPVSKAIRPORT,Visakhapatnam Airport,Airport,,5000
ANDHRA PRADESH,VISAKHAPATNAM,SZAPVSKASLMETA,ASILMETTA Visakhapatnam.,Municipality,Neighborhood/Town,560
ANDHRA PRADESH,VISAKHAPATNAM,SZAPVSKCRRBCSC,CRR Exchange/CSC  ,,,450
ANDHRA PRADESH,VISAKHAPATNAM,SZAPVSKDBGDCSC,DABAGARDENCE CSC ,BSNL Customer Service Center,,908
ANDHRA PRADESH,VISAKHAPATNAM,SZAPVSKKLSGIRI,Kailasagiri,Tourist Spot,Park,217
ANDHRA PRADESH,VISAKHAPATNAM,SZAPVSKMVPCCSC,MVP COLONY CSC Visakhapatnam.,,,707
ANDHRA PRADESH,VISAKHAPATNAM,SZAPVSKRKBCHML,RK Mission Library ,Library,,2002
ANDHRA PRADESH,VISAKHAPATNAM,SZAPVSKRKBCHRS,Rajiv Smruthi Bhavan ,Tourist Spot,Memorial,550
ANDHRA PRADESH,VISAKHAPATNAM,SZAPVSKRKBCHSP,Spencers Beach Road,Retail,,482
ANDHRA PRADESH,VISAKHAPATNAM,SZAPVSKRKBCHYM,YMCA Beach Road ,College,,1091
ANDHRA PRADESH,VISAKHAPATNAM,SZAPVSKSAMDCSE,SITAMMADHARA CSE  Visakhapatnam..,,,315
ANDHRA PRADESH,VISAKHAPATNAM,SZAPVSKSPTSCSC,STPS CSC  Visakhapatnam.,,,53
ANDHRA PRADESH,VISAKHAPATNAM,SZAPVSKVUDAPRK,Vuda park,Tourist Spot,Park,362
ANDHRA PRADESH,WARANGAL,SZAPWGLBDRKATP,Bhadrakali Temple,Historical Site,Temple,
ANDHRA PRADESH,WARANGAL,SZAPWGLCLPDBGD,COLLAPSED BRIDGE ,,,
ANDHRA PRADESH,WARANGAL,SZAPWGLJAYAHPL,jaya hospital.,Hospital,,526
ANDHRA PRADESH,WARANGAL,SZAPWGLJGLPLLY,Jangalapally.,Municipality,Town,4
ANDHRA PRADESH,WARANGAL,SZAPWGLKLDAVLG,Kalleda Village.,Village,,
ANDHRA PRADESH,WARANGAL,SZAPWGLMNDATRI,Manda Turhi(Nellikudurla).,,,207
ANDHRA PRADESH,WARANGAL,SZAPWGLMUPPRAM,Mupparam Warangal.,Village,,69
ANDHRA PRADESH,WARANGAL,SZAPWGLPASRATE,Pasra Telephone Exchange ,Telephone exchange,,851
ANDHRA PRADESH,WARANGAL,SZAPWGLPBGARDN,Public Gardens,Park,,3037
ANDHRA PRADESH,WARANGAL,SZAPWGLPNCHKPT,Penchikalpet ,Village,,105
ANDHRA PRADESH,WARANGAL,SZAPWGLRDLWVLG,Redlawada Warangal.,Municipality,Town,135
ANDHRA PRADESH,WARANGAL,SZAPWGLRTCBSTD,Warangal Bus stand,Bus Terminal,,4550
ANDHRA PRADESH,WARANGAL,SZAPWGLSRGMPET,station road girmajipeta..,Municipality,Road,979
ANDHRA PRADESH,WARANGAL,SZAPWGLTHGJVLG,Thigarajupally Warangal.,Municipality,,295
ANDHRA PRADESH,WARANGAL,SZAPWGLTHPLRTP,Thousand pillar temple,Temple,,272
CHENNAI TELEPHONES,CHENNAI TELEPHONES,SZCNCHNANARDEX,Anna road Exchange,Telephone exchange,,57
CHENNAI TELEPHONES,CHENNAI TELEPHONES,SZCNCHNCTTCEXG,RGMTTC (CTTC),,,688
CHENNAI TELEPHONES,CHENNAI TELEPHONES,SZCNCHNGMOFGDY,GM office chennai,Office,,671
CHENNAI TELEPHONES,CHENNAI TELEPHONES,SZCNCHNGRMSRDC,Greams road CSC ,,,546
CHENNAI TELEPHONES,CHENNAI TELEPHONES,SZCNCHNHIGHCRT,High court Chennai.,Court,,284
CHENNAI TELEPHONES,CHENNAI TELEPHONES,SZCNCHNKMDPMEX,Kalmandapam Exchange,Telephone exchange,,537
CHENNAI TELEPHONES,CHENNAI TELEPHONES,SZCNCHNKMNCVDY,Kumananchavady.,Municipality,Suburb,180
CHENNAI TELEPHONES,CHENNAI TELEPHONES,SZCNCHNKNTBBTS,Kanchinilayam near Tnagar busstandBT.,Bus Terminal,,544
CHENNAI TELEPHONES,CHENNAI TELEPHONES,SZCNCHNMAMSHTL,Shore temple,Temple,,97
CHENNAI TELEPHONES,CHENNAI TELEPHONES,SZCNCHNMEPZEXC,MEPZ Exge. CHENNAI .,,,183
CHENNAI TELEPHONES,CHENNAI TELEPHONES,SZCNCHNPGPKBTS,PANAGAL PARK BTS.,Park,,515
CHENNAI TELEPHONES,CHENNAI TELEPHONES,SZCNCHNPLVMRSU,PALLAVARAM RSU,,,567
CHENNAI TELEPHONES,CHENNAI TELEPHONES,SZCNCHNRKNRGEX,R.K nagar Exge Chennai.,Telephone exchange,,97
CHENNAI TELEPHONES,CHENNAI TELEPHONES,SZCNCHNWTMBMEX,West Tambaram,Municipality,Suburb,172
KERALA,ALLEPPEY,SZKLALPBOATRFP,ALP Boat race finishing point ,,,
KERALA,ALLEPPEY,SZKLALPCLCTRTE,Collectorate office Alleppey,Office,,3
KERALA,ALLEPPEY,SZKLALPCTOOFCE,CTO Office  Alleppey,,,
KERALA,ALLEPPEY,SZKLALPMVLKCTO,Mavelikara CTO Alleppey,,,
KERALA,ERNAKULAM/Cochin,SZKLENKBRHMSTM,Brahma Sthanam,,,
KERALA,ERNAKULAM/Cochin,SZKLENKBSNLBHN,BSNL Bhavan Ernakulam,BSNL Bhavan,,66
KERALA,ERNAKULAM/Cochin,SZKLENKCORPNBD,Corporation Office  Boat Jetty  Ernakulum (BSNL office),Office,,3
KERALA,ERNAKULAM/Cochin,SZKLENKDARBRHL,Durbar Hall Rd,Municipality,,67
KERALA,ERNAKULAM/Cochin,SZKLENKDISTCRT,District Court Cochin,Court,,22
KERALA,ERNAKULAM/Cochin,SZKLENKEDPLYJN,Edappally  junction,Municipality,Junction,189
KERALA,ERNAKULAM/Cochin,SZKLENKFORTCOC,Fort Kochi Corporation Zonal Office,Office,,195
KERALA,ERNAKULAM/Cochin,SZKLENKHIGHCRT,High Court Labour Office  Corporation Building,Office,,
KERALA,ERNAKULAM/Cochin,SZKLENKKALORBS,Kaloor Bus Stand,Bus Terminal,,13
KERALA,ERNAKULAM/Cochin,SZKLENKKSRTCSD,KSRTC Stand SRM Road,Bus Terminal,,345
KERALA,ERNAKULAM/Cochin,SZKLENKLKSHRHP,Lake shore Hospital,Hospital,,
KERALA,ERNAKULAM/Cochin,SZKLENKLSYHSPL,Lissy Hospital,Hospital,,553
KERALA,ERNAKULAM/Cochin,SZKLENKMARINDR,Marin Drive Corporation ,Office,,688
KERALA,ERNAKULAM/Cochin,SZKLENKMATNCRY,Mattancherry Corporation Office Cochin,Office,,4
KERALA,ERNAKULAM/Cochin,SZKLENKMEDICAL,MEDICALCENTRE  Hospital,Hospital,,75
KERALA,ERNAKULAM/Cochin,SZKLENKRPTRPTS,Tripunitharastatue,Municipality,Junction,81
KERALA,ERNAKULAM/Cochin,SZKLENKSREDMHP,SREEDHARIYAM Ayurvedic Hospital Building,Hospital,,29
KERALA,ERNAKULAM/Cochin,SZKLENKSUBSPRK,Subhash Park,Park,,4
KERALA,ERNAKULAM/Cochin,SZKLENKUCCAUVA,U C College Aluva,College,,91
KERALA,KOZHIKODE,SZKLKOZBCHROD2,Beach Road -2,Municipality,Road,951
KERALA,KOZHIKODE,SZKLKOZBEACHRD,Beach roads,Municipality,Road,1141
KERALA,KOZHIKODE,SZKLKOZCIVLOFC,Collector/Civil Office,Office,,349
KERALA,KOZHIKODE,SZKLKOZCORPOFC,Corporation Office,Office,,206
KERALA,KOZHIKODE,SZKLKOZDENCGHS,Dental College - Girls Hostel,College,,409
KERALA,KOZHIKODE,SZKLKOZGLSHGMC,Girls Hostel Govt Medical College Kozhikode,Hostel,,271
KERALA,KOZHIKODE,SZKLKOZGVMECLG,Govt Medical college Kozhikode,College,,503
KERALA,KOZHIKODE,SZKLKOZMANCIRA,Mananchira,Tourist Spot,,607
KERALA,KOZHIKODE,SZKLKOZMANKAVU,RP-02125-Mankavu,,,724
KERALA,KOZHIKODE,SZKLKOZMOFFUBS,Kozhikode Moffussil Bus Stand Kozhikode,Bus Stand,,2750
KERALA,KOZHIKODE,SZKLKOZNALAMTE,Nallalam Bsnl Exchange,Telephone exchange,,81
KERALA,KOZHIKODE,SZKLKOZNLIKDTE,Nellikode BSNL exchange.,Telephone exchange,,166
KERALA,KOZHIKODE,SZKLKOZPGHBGVM,P G Hostel - Boys Govt Medical College Kozhikode,Hostel,,145
KERALA,KOZHIKODE,SZKLKOZPNTHRKV,RP-00281-Pantherankav,,,178
KERALA,KOZHIKODE,SZKLKOZSMSTRET,S.M.STREET,,,
KERALA,KOZHIKODE,SZKLKOZSSBGVMC,Super Specialty Building,Hospital building,,971
KERALA,KOTTAYAM,SZKLKTMTNRACSC,Kottayam-THIRUNAKKARA CSC,BSNL Customer Service Center,,477
KERALA,MALAPPURAM,SZKLMRXCAIRPRT,Calicut Airport,Airport,,3441
KERALA,PALGHAT,SZKLPGTCTOTEBD,RP-00754-CTO TE Building.,BSNL Office,,75
KERALA,PALGHAT,SZKLPGTKDPDYBT,RP-02315-KODATHYPADY.,BSNL Office,,3
KERALA,PALGHAT,SZKLPGTOTPLMBT,RP-02317-OTTAPALAM_TE Palghat,,,
KERALA,PALGHAT,SZKLPGTOVKODBT,RP-00167-OLAVAKOD.,BSNL Office,,132
KERALA,PALGHAT,SZKLPGTPTBIWBT,RP-03157-PATTAMBITOWN Palghat,BSNL Office,,12
KERALA,KOLLAM,SZKLQLNADAKMBT,Andamukkam,Municipality,,31
KERALA,KOLLAM,SZKLQLNCHNKDBT,Chinnakkada,Municipality,,326
KERALA,KOLLAM,SZKLQLNDSTHSCS,District Hospital (CSC Building),Hospital,,352
KERALA,KOLLAM,SZKLQLNKOTYMTE,Kottiyam( TE Building).,Telephone exchange,,550
KERALA,KOLLAM,SZKLQLNPRVORTE,Paravoor Town (TE Building).,Telephone exchange,,167
KERALA,KOLLAM,SZKLQLNRILWSBT,Railway station,Railway Station,,418
KERALA,KOLLAM,SZKLQLNVLYMMBT,Vellayittambalam  Kollam,BSNL Customer Service Center,,86
KERALA,THRISSUR,SZKLTRCAMBADYT,Ambady Tourist Home,Hotel,,298
KERALA,THRISSUR,SZKLTRCBSNLCTR,BSNL centre Thrissur.,BSNL Customer Service Center,,355
KERALA,THRISSUR,SZKLTRCGVMPLOF,Guruvayoor Municipal Office,Municipality,Office,228
KERALA,THRISSUR,SZKLTRCPRMEXGD,Pooram Exhibition ground.,Exhibition Ground,,
KERALA,THIRUVANANTHAPURAM,SZKLTVMATINGTE,Attingal Exchange THIRUVANANTHAPURAM  .,Telephone exchange,,111
KERALA,THIRUVANANTHAPURAM,SZKLTVMATPRAZO,Attipra Zonal Office.,Office,,48
KERALA,THIRUVANANTHAPURAM,SZKLTVMCTOOFFC,CTO office BSNL,BSNL Customer Service Center,,572
KERALA,THIRUVANANTHAPURAM,SZKLTVMESTFTBT,East Fort BTS,Fort,,55
KERALA,THIRUVANANTHAPURAM,SZKLTVMHELCOMC,Health Circle Office - Medical College.,College,,4
KERALA,THIRUVANANTHAPURAM,SZKLTVMHELCONC,Health Circle Office  Nathancodu.,Office,,266
