Id,States
1370,Zakinthos
1371,Lakonia
1372,Larisa
1373,Kerkira
1374,Kikladhes
1375,Argolis
1376,Khania
1377,Evros
1378,Pella
1379,Xanthi
1380,Ioannina
1381,Samos
1382,Drama
1383,Rethimni
1384,Voiotia
1385,Magnisia
1386,Kilkis
1387,Rodhopi
1388,Messinia
1389,Ilia
1390,Serrai
1391,Imathia
1392,Khalkidhiki
1393,Thessaloniki
1394,Kardhitsa
1395,Levkas
1396,Evvoia
1397,Arta
1398,Pieria
1399,Iraklion
1400,Kozani
1401,Kefallinia
1402,Grevena
1403,Kavala
1404,Florina
1405,Attiki
1406,Lesvos
1407,Arkadhia
1408,Akhaia
1409,Lasithi
1410,Izabal
1411,Retalhuleu
1412,Sacatepequez
1413,Suchitepequez
1414,Santa Rosa
1415,Quetzaltenango
1416,El Progreso
1417,Alta Verapaz
1418,Guatemala
1419,San Marcos
1420,Quiche
1421,Jutiapa
1422,Peten
1423,Chimaltenango
1424,Huehuetenango
1425,Chiquimula
1426,Zacapa
1427,Baja Verapaz
1428,Totonicapan
1429,Solola
1430,Escuintla
1431,Jalapa
1432,Cacheu
1433,Bafata
1434,Gabu
1435,Tombali
1436,Quinara
1437,Bolama
1438,Biombo
1439,Bissau
1440,Oio
1441,Mahaica Berbice
1442,Demerara Mahaica
1443,East Berbice Corentyne
1444,Cuyuni Mazaruni
1445,Pomeroon Supenaam
1446,Barima Waini
1447,Upper Takutu Upper Essequibo
1448,Potaro Siparuni
1449,Upper Demerara Berbice
1450,Essequibo Islands West Demerara
1451,Yoro
1452,Cortes
1453,Olancho
1454,Copan
1455,Atlantida
1456,Choluteca
1457,Lempira
1458,Colon
1459,Valle
1460,Francisco Morazan
1461,Santa Barbara
1462,Comayagua
1463,Intibuca
1464,Islas de la Bahia
1465,La Paz
1466,Gracias a Dios
1467,El Paraiso
1468,Ocotepeque
1469,Zagrebacka
1470,Sibensko Kninska
1471,Grad Zagreb
1472,Zadarska
1473,Dubrovacko Neretvanska
1474,Viroviticko Podravska
1475,Brodsko Posavska
1476,Vukovarsko Srijemska
1477,Medimurska
1478,Koprivnicko Krizevacka
1479,Osjecko Baranjska
1480,Varazdinska
1481,Istarska
1482,Sisacko Moslavacka
1483,Karlovacka
1484,Krapinsko Zagorska
1485,Splitsko Dalmatinska
1486,Licko Senjska
1487,Pozesko Slavonska
1488,Bjelovarsko Bilogorska
1489,Primorsko Goranska
1490,Nord
1491,Nord Ouest
1492,Sud Est
1493,Sud
1494,Ouest
1495,Nord Est
1496,Nippes
1497,Grand' Anse
1498,Artibonite
1499,Centre
1500,Bacs Kiskun
1501,Fejer
1502,Borsod Abauj Zemplen
1503,Pecs
1504,Szekesfehervar
1505,Baranya
1506,Tatabanya
1507,Veszprem
1508,Hajdu Bihar
1509,Szolnok
1510,Gyor Moson Sopron
1511,Salgotarjan
1512,Sopron
1513,Komarom Esztergom
1514,Jasz Nagykun Szolnok
1515,Budapest
1516,Hodmezovasarhely
1517,Erd
1518,Debrecen
1519,Zala
1520,Szeged
1521,Nagykanizsa
1522,Kecskemet
1523,Bekescsaba
1524,Bekes
1525,Eger
1526,Szekszard
1527,Tolna
