alcatel_ot_5042d_2014_september,130,,alcatel,alcatel ot 5042d,,2014 september,,Alcatel Ot 5042D
alcatel_ot_5042t_2015_april,131,,alcatel,alcatel ot 5042t,,2015 april,,Alcatel Ot 5042T
alcatel_ot_5050a_2014_june,132,,alcatel,alcatel ot 5050a,,2014 june,,Alcatel Ot 5050A
alcatel_ot_6010x_2013_may,133,,alcatel,alcatel ot 6010x,,2013 may,,Alcatel Ot 6010X
alcatel_ot_6034y_2013_september,134,,alcatel,alcatel ot 6034y,,2013 september,,Alcatel Ot 6034Y
alcatel_ot_6036a_2014_march,135,,alcatel,alcatel ot 6036a,,2014 march,,Alcatel Ot 6036A
alcatel_ot_7024w_2013_october,136,,alcatel,alcatel ot 7024w,,2013 october,,Alcatel Ot 7024W
alcatel_ot_8008d_2013_august,137,,alcatel,alcatel ot 8008d,,2013 august,,Alcatel Ot 8008D
alcatel_ot_991_2012_july,138,,alcatel,alcatel ot 991,,2012 july,,Alcatel Ot 991
alcatel_ot_997d_2012_october,139,,alcatel,alcatel ot 997d,,2012 october,,Alcatel Ot 997D
alcatel_ot_a564c_2014_october,140,,alcatel,alcatel ot a564c,,2014 october,,Alcatel Ot A564C
allview_e2_2014_may,141,,allview,allview e2,,2014 may,,Allview E2
allview_p4_2012_august,142,,allview,allview p4,,2012 august,,Allview P4
allview_p5_qmax_2013_june,143,,allview,allview p5 qmax,,2013 june,,Allview P5 Qmax
allview_p6_energy_2015_january,144,,allview,allview p6 energy,,2015 january,,Allview P6 Energy
allview_p8_energy_2015_september,145,,allview,allview p8 energy,,2015 september,,Allview P8 Energy
allview_x1_soul_xtreme_2012_october,146,,allview,allview x1 soul xtreme,,2012 october,,Allview X1 Soul Xtreme
alps_01_v89_jbl1a698_2014_january,147,,alps,alps 01 v89 jbl1a698,,2014 january,,Alps 01 V89 Jbl1A698
alps_709v92_jbla828_2014_march,148,,alps,alps 709v92 jbla828,,2014 march,,Alps 709V92 Jbla828
alps_e1901_v77_jbla668_fwvga_2013_march,149,,alps,alps e1901 v77 jbla668 fwvga,,2013 march,,Alps E1901 V77 Jbla668 Fwvga
amazon_fire_phone_2014_june,150,,amazon,amazon fire phone,,2014 june,,Amazon Fire Phone
amazon_kindle_3_2010_july,151,,amazon,amazon kindle 3,,2010 july,,Amazon Kindle 3
amgoo_am405_2013_september,152,,amgoo,amgoo am405,,2013 september,,Amgoo Am405
andromax_i4d1g_2014_october,153,,andromax,andromax i4d1g,,2014 october,,Andromax I4D1G
aoc_e41_2013_september,154,,aoc,aoc e41,,2013 september,,Aoc E41
apple_iphone_2007_june,155,,apple,apple iphone,,2007 june,,Apple Iphone
apple_iphone_2008_july,156,,apple,apple iphone,,2008 july,,Apple Iphone
apple_iphone_2010_july,157,,apple,apple iphone,,2010 july,,Apple Iphone
apple_iphone_2011_april,158,,apple,apple iphone,,2011 april,,Apple Iphone
apple_iphone_2011_october,159,,apple,apple iphone,,2011 october,,Apple Iphone
apple_iphone_2012_july,160,,apple,apple iphone,,2012 july,,Apple Iphone
apple_iphone_2013_june,161,,apple,apple iphone,,2013 june,,Apple Iphone
apple_ipod_touch_2008_july,162,,apple,apple ipod touch,,2008 july,,Apple Ipod Touch
apple_ipod_touch_2011_october,163,,apple,apple ipod touch,,2011 october,,Apple Ipod Touch
archos_40d_titanium_2013_september,164,,archos,archos 40d titanium,,2013 september,,Archos 40D Titanium
archos_45c_platinum_2014_september,165,,archos,archos 45c platinum,,2014 september,,Archos 45C Platinum
archos_45c_titanium_2015_march,166,,archos,archos 45c titanium,,2015 march,,Archos 45C Titanium
archos_50b_neon_2015_february,167,,archos,archos 50b neon,,2015 february,,Archos 50B Neon
archos_50c_platinum_2015_march,168,,archos,archos 50c platinum,,2015 march,,Archos 50C Platinum
archos_50d_helium_2015_march,169,,archos,archos 50d helium,,2015 march,,Archos 50D Helium
archos_ac45bhe_2015_february,170,,archos,archos ac45bhe,,2015 february,,Archos Ac45Bhe
argos_bush_5,171,,argos,argos,,bush 5,,Argos
ark_benefit_m2c_2013_september,172,,ark,ark benefit m2c,,2013 september,,Ark Benefit M2C
arya_a1__2012_october,173,,arya,arya a1 ,,2012 october,,Arya A1 
asus_a500cg_2014_april,174,,asus,asus a500cg,,2014 april,,Asus A500Cg
asus_a68_2012_november,175,,asus,asus a68,,2012 november,,Asus A68
asus_asus_z008d_2015_january,176,,asus,asus asus z008d,,2015 january,,Asus Asus Z008D
asus_asus_z00ad_2015_january,177,,asus,asus asus z00ad,,2015 january,,Asus Asus Z00Ad
asus_padfone_t008_2014_march,178,,asus,asus padfone t008,,2014 march,,Asus Padfone T008
asus_padfone_x_mini_2014_october,179,,asus,asus padfone x mini,,2014 october,,Asus Padfone X Mini
asus_t001_2013_july,180,,asus,asus t001,,2013 july,,Asus T001
asus_t00c_2014_february,181,,asus,asus t00c,,2014 february,,Asus T00C
asus_t00f_2014_july,182,,asus,asus t00f,,2014 july,,Asus T00F
asus_t00f_2014_may,183,,asus,asus t00f,,2014 may,,Asus T00F
asus_t00g_2014_may,184,,asus,asus t00g,,2014 may,,Asus T00G
asus_t00i_2013_july,185,,asus,asus t00i,,2013 july,,Asus T00I
asus_t00j_2014_april,186,,asus,asus t00j,,2014 april,,Asus T00J
asus_t00j_d_2014_april,187,,asus,asus t00j d,,2014 april,,Asus T00J D
asus_t00n_2014_july,188,,asus,asus t00n,,2014 july,,Asus T00N
asus_t00p_2014_july,189,,asus,asus t00p,,2014 july,,Asus T00P
asus_t00q_2014_july,190,,asus,asus t00q,,2014 july,,Asus T00Q
asus_tooi_2014_may,191,,asus,asus tooi,,2014 may,,Asus Tooi
asus_z002_2013_july,192,,asus,asus z002,,2013 july,,Asus Z002
asus_z007_2013_september,193,,asus,asus z007,,2013 september,,Asus Z007
asus_z008_2015_january,194,,asus,asus z008,,2015 january,,Asus Z008
asus_z00a_2015_january,195,,asus,asus z00a,,2015 january,,Asus Z00A
asus_z00ada_2015_january,196,,asus,asus z00ada,,2015 january,,Asus Z00Ada
asus_z00d_2015_january,197,,asus,asus z00d,,2015 january,,Asus Z00D
asus_z00ed_2015_august,198,,asus,asus z00ed,,2015 august,,Asus Z00Ed
asus_z00ld_2015_august,199,,asus,asus z00ld,,2015 august,,Asus Z00Ld
asus_z00md_2016_march,200,,asus,asus z00md,,2016 march,,Asus Z00Md
asus_z00rd_2015_august,201,,asus,asus z00rd,,2015 august,,Asus Z00Rd
asus_z00sd_2015_march,202,,asus,asus z00sd,,2015 march,,Asus Z00Sd
asus_z00td_2015_december,203,,asus,asus z00td,,2015 december,,Asus Z00Td
asus_z00ud_2015_august,204,,asus,asus z00ud,,2015 august,,Asus Z00Ud
asus_z00vd_2015_august,205,,asus,asus z00vd,,2015 august,,Asus Z00Vd
asus_z00yd_2016_february,206,,asus,asus z00yd,,2016 february,,Asus Z00Yd
asus_z010d_2016_january,207,,asus,asus z010d,,2016 january,,Asus Z010D
asus_z011d_2015_december,208,,asus,asus z011d,,2015 december,,Asus Z011D
asus_ze551ml_2015_january,209,,asus,asus ze551ml,,2015 january,,Asus Ze551Ml
asus_zenfone_2e_2015_july,210,,asus,asus zenfone 2e,,2015 july,,Asus Zenfone 2E
asus_zenfone_5_lite_t00k_2014_november,211,,asus,asus zenfone 5 lite t00k,,2014 november,,Asus Zenfone 5 Lite T00K
auchan_qilive_4.5_2014_september,212,,auchan,auchan qilive 4.5,,2014 september,,Auchan Qilive 4.5
avvio_750_2014_june,213,,avvio,avvio 750,,2014 june,,Avvio 750
avvio_793_2014_december,214,,avvio,avvio 793,,2014 december,,Avvio 793
