Id,sectionMap
SegmentD236,JP Nagar Phase 4; Bangalore
SegmentD237,Kasarwadi; Pune
SegmentD238,Kukatpally; Hyderabad
SegmentD239,Kurla; Mumbai
SegmentD240,Nana Chiloda; Ahmedabad
SegmentD241,Nandambakkam; Chennai
SegmentD242,Near Peenya Industrial Area; Bangalore
SegmentD243,Patia; Bhubaneswar
SegmentD244,Sarojini Nagar; Lucknow
SegmentD245,Shivaji Nagar; Bangalore
SegmentD246,Shreerang Nagar; Nashik
SegmentD247,Sughad; Ahmedabad
SegmentD248,Aliganj; Lucknow
SegmentD249,Alipore; Kolkata
SegmentD250,Ayanambakkam; Chennai
SegmentD251,Baguihati; Kolkata
SegmentD252,Chhawla; Delhi
SegmentD253,Dapodi; Pune
SegmentD254,Kumbalgodu; Bangalore
SegmentD255,Nayabad; Kolkata
SegmentD256,Neelankarai; Chennai
SegmentD257,Parvati Darshan; Pune
SegmentD258,Raja Annamalai Puram; Chennai
SegmentD259,Shankarpalli; Hyderabad
SegmentD260,Shivane; Pune
SegmentD261,Tiruvallur; Chennai
aa1,Coorg; Karnataka; india
aa2,Manali; himachal pradesh; india
aa3,Coorg; karnataka; india
aa4,Coorg; undefined; india
aa5,Ooty; undefined; india
aa6,Manali; Himachal Pradesh; india
aa7,Ooty; tamil nadu; india
aa8,Mumbai; maharashtra; india
aa9,Coorg; karnataka; India


